75,7,"sinraptor","Man sized.  2 legged.  2 arms.  Green scales.  Uses swords"
76,7,"Rin","Rival  to Effluvia. Magician\n"
77,7,"Ashilo","Southern City.  Reduced to rubble in Ch 2"
78,7,"Gryld","Smart octopoid race. No government.   Many work for Conclave.  Undersea creature"
79,7,"Saurians","Aquatic species.  Lizard men.  At war with Grylds"
80,7,"Tzith-Sak","Archmage.  Leader of Conclave.  Possessed by demon in Ch 1"
81,7,"Effluvia","2nd in Conclave.  Thermomage.  Needs heat or fire to cast spells, except for Disintegratos"
82,7,"Etch-gryld","One of the Grylds.  Note the use of caps in his name.  Searches for magic items on ocean floor for Tzith-Sak"
83,7,"Frogstrocities","giant frogs.  Do not use weapons.  Uses claws"
84,7,"Tyranodactyl","T-rex head on terrodactyl body.  Screeches when attacking or wounded."
85,7,"Galeos","High tech world.  Saarik's home world."
86,7,"Cascading Lightning Bolt","jumps from person to person.  Tzith-Sak can cast it and a few Electromages"
87,7,"Electromages","uses lightning\n"
88,7,"Thermomage","controls fire and heat\n"
89,7,"Castle Glynna","The cylindrical castle on the Isle of Glynna.  Saarik designed it.  Well, technically Tim did."
90,7,"Glynna","The island Saarik moves the rebels too."
91,7,"Artifacts of Obliskos","A sword, a helm, a shield and a breast plate.\nSword slows down time for wielder.  Help lets you see other guy's true nature."
92,7,"Blue Fins","A race of undersea humans who had evolved naturally in Imtrund's ocean.  Robin's egg blue skin, tall ears and webbed hands.  they have tamed sea horses."
93,7,"Sea Horse Knights","9 armored Blue Skins on armored Sea Horses.\n"
94,7,"9","A magic number on Imtrund.  A god may only have 9 knights, if a person breaks 9 oaths they die, etc. These are natural laws that govern Imtrund."
95,7,"Vampire Sharks","Dont pet one."
96,7,"Brass Platemail of Glynna.","A single suit of armor.  Made by Sheila.  covered in ruins and spells.  Light and strong.  Her first relic."
97,7,"Davina","changed to Savinalos.  please change it if you see Davina in War Machines of von Saarik.  Archer that works for Saarik."
98,7,"Savinalos","Archer that works for Saarik."
